X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Enthalpy_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
0.245846778,0.792416155,0,125516.031,2000,0,0,0,0.25512886,0,0,784.243591,125516.031,2000,-3126377.75,-5.14E+09,3.32E-07,-1795547.25,653526.062,0,-4932155.5,1795158.62,0,1.24972272,0.68336463,0.220203131,1216174.25,0,0,5313.04639,0.048482887,0.48618871,0.327087581,2.43E-17,0.15426302,7.52E-10,0.03246066
0.247475535,0.796891153,0,125522.953,2000,0,0,0,0.255155891,0,0,784.215881,125522.953,2000,-3127274.75,-5.15E+09,3.32E-07,-1797237,654141.062,0,-4936669,1796801.38,0,1.24969828,0.683367491,0.219438702,1217433.62,0,0,5318.38623,0.048146859,0.486431688,0.326932907,2.47E-17,0.154134363,7.64E-10,0.03250102
0.249104306,0.80136615,0,125532.898,2000,0,0,0,0.255190283,0,0,784.185791,125532.898,2000,-3128249.75,-5.17E+09,3.32E-07,-1799021.12,654790.5,0,-4941570,1798585.25,0,1.24967194,0.683370531,0.218679309,1218702.88,0,0,5323.76416,0.047814198,0.48668471,0.326771826,2.51E-17,0.15400295,7.76E-10,0.032540474
0.250733078,0.805841148,0,125540.781,2000,0,0,0,0.255220056,0,0,784.156616,125540.781,2000,-3129195.25,-5.18E+09,3.32E-07,-1801039.75,655525.25,0,-4947251,1800653.25,0,1.24964643,0.683373511,0.217928544,1219943,0,0,5329.01709,0.047486447,0.486933142,0.326613665,2.55E-17,0.15387319,7.87E-10,0.032579958
0.252361834,0.810316145,0,125542.414,2000,0,0,0,0.255235642,0,0,784.13031,125542.414,2000,-3130048.25,-5.19E+09,3.32E-07,-1803170.75,656300.812,0,-4953198,1802817.62,0,1.24962294,0.683376372,0.217171445,1221129.25,0,0,5334.04004,0.04715709,0.487169385,0.326463282,2.59E-17,0.153746888,7.99E-10,0.0326204
0.25399062,0.814791143,0,125536.25,2000,0,0,0,0.255233765,0,0,784.1073,125536.25,2000,-3130797.5,-5.20E+09,3.32E-07,-1805269,657064.5,0,-4958966,1804917.12,0,1.24960184,0.683379054,0.216397256,1222223.88,0,0,5338.66748,0.046821479,0.487392485,0.326321274,2.62E-17,0.153624073,8.11E-10,0.032662142
0.255619377,0.8192662,0,125523.555,2000,0,0,0,0.255217314,0,0,784.086853,125523.555,2000,-3131464,-5.21E+09,3.32E-07,-1807214.62,657772.625,0,-4964370,1806883.75,0,1.24958265,0.683381557,0.215603068,1223233.12,0,0,5342.92627,0.046478443,0.487604886,0.326186031,2.66E-17,0.153504193,8.23E-10,0.032704838
0.257248163,0.823741198,0,125507.391,2000,0,0,0,0.255192816,0,0,784.068359,125507.391,2000,-3132068.5,-5.22E+09,3.32E-07,-1808869,658374.688,0,-4968979,1808561.25,0,1.24956489,0.683384001,0.214782774,1224221.75,0,0,5347.09766,0.046125446,0.487809956,0.326055497,2.71E-17,0.153385982,8.37E-10,0.032748517
0.25887692,0.828216195,0,125492.336,2000,0,0,0,0.255169928,0,0,784.051147,125492.336,2000,-3132632.5,-5.23E+09,3.32E-07,-1810196.75,658857.938,0,-4972686.5,1809910.38,0,1.24954796,0.683386266,0.213938519,1225252.25,0,0,5351.45264,0.045763537,0.488011152,0.325927436,2.75E-17,0.153268203,8.51E-10,0.032793183
0.260505676,0.832691193,0,125483.016,2000,0,0,0,0.255158573,0,0,784.034119,125483.016,2000,-3133191,-5.24E+09,3.32E-07,-1811274.88,659250.312,0,-4975760.5,1811029.25,0,1.24953115,0.683388531,0.213080496,1226374.62,0,0,5356.2085,0.045397174,0.488212436,0.325799286,2.80E-17,0.153149977,8.66E-10,0.032838255
