x,y,qdot
0.227355108,0.005264141,203004.25
0.228177264,0.005264141,202767.281
0.229070202,0.005264141,202512.875
0.230039909,0.005264141,202238.953
0.23109287,0.005264141,201943.609
0.232236102,0.005264141,201625.812
0.233477175,0.005264141,201284.25
0.23482427,0.005264141,200917.719
0.236286193,0.005264141,200522.672
0.237872496,0.005264141,200096.984
0.239593402,0.005264141,199639.547
0.241459981,0.005264141,199145.703
0.243484125,0.005264141,198614.812
0.245678589,0.005264141,198045.734
0.248057112,0.005264141,197435.047
0.250634432,0.005264141,196781.516
0.253426284,0.005264141,196083.703
0.25644955,0.005264141,195341.047
0.259722292,0.005264141,194552.156
0.263263673,0.005264141,193715.906
0.267094225,0.005264141,192832.547
0.271235645,0.005264141,191901.688
0.27571103,0.005264141,190924.359
0.280544728,0.005264141,189903.484
0.285762548,0.005264141,188840.594
0.291391551,0.005264141,187738.234
0.297460109,0.005264141,186600.797
0.303997904,0.005264141,185431.359
0.311035901,0.005264141,184234.016
0.318606049,0.005264141,183013.672
0.326741427,0.005264141,181774.891
0.335475892,0.005264141,180523.516
0.344844013,0.005264141,179265.938
0.35488072,0.005264141,178009.25
0.36562112,0.005264141,176760.312
0.37710017,0.005264141,175525.891
0.389352113,0.005264141,174313.547
0.402410358,0.005264141,173130.781
0.416306645,0.005264141,171985.609
0.431070805,0.005264141,170885.406
0.446729928,0.005264141,169837.906
0.463307917,0.005264141,168850.297
0.480824679,0.005264141,167928.781
0.499295503,0.005264141,167080.875
0.518730342,0.005264141,166313.094
0.539133072,0.005264141,165630.516
0.56050092,0.005264141,165037.641
0.582823694,0.005264141,164536.344
0.606083214,0.005264141,164128.703
0.630253077,0.005264141,163815.422
0.655298054,0.005264141,163594.078
0.681173861,0.005264141,163462.328
0.707827508,0.005264141,163417.516
0.735196829,0.005264141,163432.688
0.76321137,0.005264141,163442.844
0.791792631,0.005264141,163377.484
0.820854783,0.005264141,163197.375
0.850305796,0.005264141,162900.422
0.880048335,0.005264141,162508.844
0.909981012,0.005264141,162041.625
0.939999998,0.005264141,161530.969
0.969999969,0.005264141,160957.125
1,0.005264141,160642.141
