x,y,P,T,CO2,CO,C2,O2,C,O
0.064855933,0.005264141,138668.047,2000,0.637958467,2.30E-01,1.06E-18,1.29E-01,1.84E-12,0.002612207
0.065355204,0.005264141,138668.234,2000,0.637636781,2.31E-01,1.44E-18,1.29E-01,2.17E-12,0.002619808
0.065854482,0.005264141,138668.422,2000,0.637319267,2.31E-01,1.77E-18,1.29E-01,2.64E-12,0.002627362
0.066353761,0.005264141,138668.625,2000,0.637005866,2.31E-01,1.90E-18,1.29E-01,2.54E-12,0.002634971
6.69E-02,0.005264141,138668.828,2000,0.636696517,2.31E-01,1.80E-18,1.29E-01,1.86E-12,0.002642514
6.74E-02,0.005264141,138669.031,2000,0.636391282,2.31E-01,1.34E-18,1.30E-01,1.36E-12,0.002649965
6.79E-02,0.005264141,138669.234,2000,0.636089981,2.32E-01,3.13E-18,1.30E-01,1.41E-12,0.002657364
6.84E-02,0.005264141,138669.453,2000,0.635792613,2.32E-01,7.28E-18,1.30E-01,1.67E-12,0.002664685
6.89E-02,0.005264141,138669.656,2000,0.635499179,2.32E-01,9.22E-18,1.30E-01,2.12E-12,0.002671831
6.93E-02,0.005264141,138669.875,2000,0.63520956,2.32E-01,8.56E-18,1.30E-01,2.50E-12,0.002678921
6.98E-02,0.005264141,138670.094,2000,0.634923756,2.32E-01,7.53E-18,1.30E-01,2.61E-12,0.00268601
7.03E-02,0.005264141,138670.328,2000,0.634641707,2.33E-01,6.63E-18,1.30E-01,2.56E-12,0.002692939
7.08E-02,0.005264141,138670.547,2000,0.634363532,2.33E-01,4.82E-18,1.30E-01,2.38E-12,0.002699819
0.071346521,0.005264141,138670.781,2000,0.634088993,0.232861117,1.89E-18,0.130343124,2.08E-12,0.002706707
0.0718458,0.005264141,138671,2000,0.633818269,0.233033478,6.98E-19,0.130434737,1.83E-12,0.002713481
0.072345071,0.005264141,138671.234,2000,0.63355118,0.233203486,1.63E-18,0.130525082,2.15E-12,0.002720192
0.072844349,0.005264141,138671.469,2000,0.633287787,0.233371168,2.36E-18,0.130614176,2.60E-12,0.002726821
0.073343627,0.005264141,138671.719,2000,0.63302803,0.233536541,2.53E-18,0.130702049,2.65E-12,0.002733362
0.073842898,0.005264141,138671.953,2000,0.63277185,0.23369962,2.33E-18,0.130788669,2.15E-12,0.002739824
0.074342176,0.005264141,138672.203,2000,0.632519245,0.233860403,2.01E-18,0.130874068,1.68E-12,0.00274622
0.074841455,0.005264141,138672.438,2000,0.632270277,0.234018892,1.76E-18,0.1309582,1.64E-12,0.002752567
0.075340726,0.005264141,138672.688,2000,0.632024884,0.234175131,1.59E-18,0.131041124,1.66E-12,0.002758824
0.075840004,0.005264141,138672.938,2000,0.631783009,0.23432909,1.38E-18,0.131122842,1.77E-12,0.002765006
0.076339282,0.005264141,138673.188,2000,0.631544709,0.234480783,1.07E-18,0.131203324,1.85E-12,0.002771118
0.07683856,0.005264141,138673.453,2000,0.631309927,0.234630257,2.21E-18,0.131282613,2.01E-12,0.002777155
0.077337831,0.005264141,138673.703,2000,0.631078601,0.23477751,4.92E-18,0.131360739,2.26E-12,0.002783101
0.07783711,0.005264141,138673.969,2000,0.630850852,0.234922513,5.77E-18,0.131437585,2.38E-12,0.00278903
0.078336388,0.005264141,138674.219,2000,0.630626559,0.235065266,4.25E-18,0.131513089,2.29E-12,0.002795018
0.078835659,0.005264141,138674.484,2000,0.630405724,0.235205874,4.17E-18,0.131587207,2.47E-12,0.002801157
0.079334937,0.005264141,138674.75,2000,0.630188107,0.235344395,3.79E-18,0.131660551,2.70E-12,0.002806905
0.079834215,0.005264141,138675.016,2000,0.629973888,0.23548077,1.39E-18,0.131733015,2.53E-12,0.002812299
0.080333486,0.005264141,138675.281,2000,0.629763126,0.235614926,9.05E-19,0.131804049,2.24E-12,0.002817833
0.080832765,0.005264141,138675.562,2000,0.629555821,0.235746905,1.61E-18,0.131873995,2.05E-12,0.002823245
0.081332043,0.005264141,138675.828,2000,0.629351795,0.235876784,1.58E-18,0.131942734,2.16E-12,0.002828648
0.081831321,0.005264141,138676.094,2000,0.629151106,0.236004531,1.43E-18,0.132010326,2.27E-12,0.00283397
0.082330592,0.005264141,138676.375,2000,0.628953755,0.236130163,1.63E-18,0.1320768,2.19E-12,0.002839223
0.08282987,0.005264141,138676.656,2000,0.628759682,0.236253709,1.97E-18,0.132142141,2.00E-12,0.002844411
0.083329149,0.005264141,138676.922,2000,0.628568947,0.236375138,2.20E-18,0.132206351,1.73E-12,0.002849521
0.083828419,0.005264141,138677.203,2000,0.628381491,0.236494467,2.14E-18,0.132269487,1.58E-12,0.002854505
0.084327698,0.005264141,138677.484,2000,0.628197372,0.236611694,1.60E-18,0.132331491,1.60E-12,0.002859416
0.084826976,0.005264141,138677.766,2000,0.628016472,0.23672685,2.92E-18,0.132392377,1.76E-12,0.002864272
0.085326247,0.005264141,138678.047,2000,0.62783885,0.23683992,5.02E-18,0.132452145,2.01E-12,0.002869053
0.085825525,0.005264141,138678.328,2000,0.627664447,0.236950919,4.41E-18,0.132510811,2.20E-12,0.002873759
0.086324804,0.005264141,138678.609,2000,0.627493322,0.237059861,1.80E-18,0.132568374,2.30E-12,0.002878389
0.086824082,0.005264141,138678.891,2000,0.627325416,0.237166747,7.72E-19,0.13262482,2.12E-12,0.002882948
0.087323353,0.005264141,138679.172,2000,0.627160728,0.237271592,2.10E-18,0.132680178,2.21E-12,0.002887447
0.087822631,0.005264141,138679.469,2000,0.626999259,0.237374395,2.98E-18,0.132734478,3.08E-12,0.002891842
0.088321909,0.005264141,138679.75,2000,0.626840949,0.237475172,3.13E-18,0.132787734,3.56E-12,0.002896115
0.08882118,0.005264141,138680.031,2000,0.626685798,0.237573922,3.01E-18,0.132839873,2.75E-12,0.002900343
0.089320459,0.005264141,138680.312,2000,0.626533866,0.23767066,2.75E-18,0.13289091,2.03E-12,0.002904539
0.089819737,0.005264141,138680.609,2000,0.626385033,0.237765417,2.44E-18,0.132940903,2.29E-12,0.002908629
0.090319008,0.005264141,138680.891,2000,0.62623924,0.237858206,1.70E-18,0.132990018,2.96E-12,0.002912487
0.090818286,0.005264141,138681.188,2000,0.626096606,0.237948984,2.93E-18,0.13303788,3.39E-12,0.002916457
0.091317564,0.005264141,138681.469,2000,0.625957131,0.23803781,5.07E-18,0.133084744,3.25E-12,0.00292029
0.091816843,0.005264141,138681.75,2000,0.625820696,0.238124639,4.93E-18,0.133130655,3.07E-12,0.002923955
0.092316113,0.005264141,138682.047,2000,0.62568748,0.238209471,4.26E-18,0.133175358,2.87E-12,0.002927673
0.092815392,0.005264141,138682.328,2000,0.625557303,0.238292336,3.35E-18,0.133219004,2.61E-12,0.002931326
0.09331467,0.005264141,138682.625,2000,0.625430167,0.238373235,1.57E-18,0.133261606,2.38E-12,0.002934923
0.093813941,0.005264141,138682.906,2000,0.625306189,0.238452196,1.13E-18,0.133303165,2.74E-12,0.002938429
0.094313219,0.005264141,138683.203,2000,0.625185192,0.23852919,2.38E-18,0.133343756,4.41E-12,0.0029418
0.094812498,0.005264141,138683.484,2000,0.625067294,0.238604262,3.80E-18,0.133383304,5.58E-12,0.002945093
0.095311768,0.005264141,138683.766,2000,0.624952376,0.238677412,4.52E-18,0.133421808,5.54E-12,0.002948359
0.095811047,0.005264141,138684.062,2000,0.624840498,0.238748655,4.13E-18,0.133459315,5.56E-12,0.002951517
0.096310325,0.005264141,138684.344,2000,0.624731541,0.23881802,2.72E-18,0.133495837,5.53E-12,0.002954587
0.096809596,0.005264141,138684.625,2000,0.624625504,0.238885477,1.58E-18,0.133531302,5.23E-12,0.002957643
0.097308874,0.005264141,138684.906,2000,0.624522567,0.238951042,2.28E-18,0.133565784,4.84E-12,0.002960579
0.097808152,0.005264141,138685.203,2000,0.62442255,0.2390147,2.80E-18,0.133599311,4.66E-12,0.002963408
0.098307431,0.005264141,138685.484,2000,0.624325454,0.239076495,1.98E-18,0.13363184,4.24E-12,0.002966149
0.098806702,0.005264141,138685.766,2000,0.624231339,0.239136428,1.27E-18,0.133663699,3.44E-12,0.002968498
0.09930598,0.005264141,138686.047,2000,0.624140084,0.239194497,1.07E-18,0.133694559,2.88E-12,0.002970797
0.099805258,0.005264141,138686.328,2000,0.62405175,0.239250734,1.10E-18,0.133724138,2.49E-12,0.002973315
0.100304529,0.005264141,138686.609,2000,0.623966336,0.239305139,1.10E-18,0.133752763,1.91E-12,0.002975753
0.100803807,0.005264141,138686.875,2000,0.623883724,0.23935771,1.01E-18,0.13378039,1.59E-12,0.002978132
0.101303086,0.005264141,138687.156,2000,0.623803973,0.239408478,9.39E-19,0.133807033,1.85E-12,0.002980476
0.101802357,0.005264141,138687.438,2000,0.623727083,0.239457443,5.98E-19,0.133832723,2.09E-12,0.002982738
