X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Enthalpy_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
0.023266118,0.17413649,0,36305.207,2000,0,0,0,0.095320046,0,0,668.568481,36305.207,2000,-6798735.5,-958388.562,1.01E-06,-143229.359,38970,0,-519066.562,141225.766,0,1.1734935,0.689418197,0.04220593,38999.6602,0,0,163.524368,0.001781207,0.990514636,0.006038269,4.57E-17,0.00122711,1.03E-10,0.002219942
0.024532827,0.17872712,0,36235.1523,2000,0,0,0,0.09514913,0,0,668.513977,36235.1523,2000,-6800425.5,-922999.438,1.01E-06,-149449.891,41817.1328,0,-526660.062,147360.797,0,1.17346299,0.689420521,0.0423548,39122.5742,0,0,164.038528,0.00179379,0.990693152,0.005924653,4.26E-17,0.001197539,9.92E-11,0.002184653
0.025832461,0.183308557,0,36168.6484,2000,0,0,0,0.09498772,0,0,668.458557,36168.6484,2000,-6802146,-887894.625,1.01E-06,-155544.656,44729.0625,0,-533360.312,153372.922,0,1.17343175,0.689422786,0.04248083,39395.9961,0,0,165.183685,0.001804478,0.990875006,0.005808888,4.02E-17,0.001167318,9.51E-11,0.002148788
0.027164955,0.187880531,0,36106.0117,2000,0,0,0,0.094836459,0,0,668.402954,36106.0117,2000,-6803870.5,-853721.125,1.01E-06,-161490.891,47696.8711,0,-539154.375,159238.688,0,1.17340064,0.689424872,0.042585168,39782.8906,0,0,166.804611,0.00181335,0.991057158,0.005692895,3.84E-17,0.001137072,9.11E-11,0.002112818
0.028530238,0.192442819,0,36047.4805,2000,0,0,0,0.094695881,0,0,668.347656,36047.4805,2000,-6805588,-820637.125,1.01E-06,-167256.328,50708.043,0,-544039.25,164937.141,0,1.17336953,0.689426899,0.042669021,40239.4375,0,0,168.717575,0.001820496,0.991238356,0.005577567,3.71E-17,0.001107175,8.73E-11,0.002076878
0.029928241,0.196995184,0,35993.4805,2000,0,0,0,0.094567038,0,0,668.292847,35993.4805,2000,-6807287.5,-788670.938,1.02E-06,-172804.938,53747.875,0,-547999.25,170443.078,0,1.17333889,0.689428926,0.04273301,40736.6836,0,0,170.801163,0.001825958,0.99141717,0.005463715,3.60E-17,0.001077904,8.37E-11,0.002041153
0.03135889,0.2015374,0,35944.3438,2000,0,0,0,0.094450645,0,0,668.23938,35944.3438,2000,-6808948,-758057.188,1.02E-06,-178093.469,56798.2188,0,-550980.75,175718.578,0,1.17330885,0.689430833,0.042776085,41254.6445,0,0,172.971634,0.00182964,0.991591632,0.005352688,3.51E-17,0.001049578,8.03E-11,0.002006098
0.032822117,0.206069231,0,35900.3203,2000,0,0,0,0.094347201,0,0,668.187744,35900.3203,2000,-6810549,-729175.562,1.02E-06,-183086.578,59842.1211,0,-552955.438,180732.141,0,1.17327988,0.689432681,0.042797975,41762.8203,0,0,175.101089,0.001831512,0.991759479,0.005245826,3.43E-17,0.001022492,7.72E-11,0.00197218
0.03431784,0.210590437,0,35861.8164,2000,0,0,0,0.094257727,0,0,668.138306,35861.8164,2000,-6812083.5,-702217.875,1.02E-06,-187900.688,62912.3164,0,-554347.438,185602.75,0,1.17325222,0.689434469,0.042815849,42247.4805,0,0,177.131989,0.00183304,0.991919994,0.005143629,3.35E-17,0.000996787,7.43E-11,0.001939544
0.035845984,0.21510078,0,35829.8125,2000,0,0,0,0.094184965,0,0,668.090393,35829.8125,2000,-6813570.5,-677069.688,1.02E-06,-193032.781,66175.7422,0,-556610.5,190815.828,0,1.17322528,0.689436197,0.042886823,42728.9492,0,0,179.149551,0.001839124,0.992075086,0.005044917,3.27E-17,0.000972295,7.15E-11,0.001907685
