X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
0.005426252,0.017150559,0,138759.203,2000,0,0,0,0.297687829,0,0,758.097412,138759.203,2000,-525962368,2.91E-07,-11551.9805,4205.53125,0,-35442.3516,12903.4951,0,1.23252285,0.686031401,0.028802326,349563.531,0,0,1525.70093,0.000825004,0.549003422,0.28702575,9.27E-19,0.158409968,8.41E-12,0.005560781
0.005588817,0.017597202,0,138757.812,2000,0,0,0,0.297652215,0,0,758.150024,138757.812,2000,-525962368,2.91E-07,-11952.4268,4351.32617,0,-36925.2852,13443.4023,0,1.23255873,0.686043501,0.027658928,350929.188,0,0,1531.68018,0.00076055,0.548812926,0.287147045,5.93E-19,0.158450261,8.10E-12,0.005589714
0.005751382,0.018043846,0,138756.312,2000,0,0,0,0.297600687,0,0,758.228149,138756.312,2000,-536429216,2.91E-07,-12385.2676,4508.85693,0,-38544.8281,14032.9102,0,1.23261261,0.686051905,0.026650017,352731.812,0,0,1539.57971,0.000705884,0.54851526,0.287336528,3.88E-19,0.158521146,7.91E-12,0.005626996
0.005913947,0.01849049,0,138754.703,2000,0,0,0,0.297531545,0,0,758.334534,138754.703,2000,-543697280,2.91E-07,-12849.9268,4678.01807,0,-40306.3555,14674.2188,0,1.23268616,0.686056614,0.025766281,355028.562,0,0,1549.65051,0.000659644,0.548100114,0.287600785,3.30E-19,0.158625066,7.74E-12,0.005673958
0.006076512,0.018937135,0,138752.953,2000,0,0,0,0.297448099,0,0,758.463806,138752.953,2000,-550949184,2.92E-07,-13358.0801,4863.00342,0,-42239.0117,15377.7793,0,1.23277593,0.68605864,0.025002172,357816.75,0,0,1561.88049,0.00062095,0.547586918,0.287927508,4.21E-19,0.158757836,9.56E-12,0.005727678
0.006239078,0.019383779,0,138751.078,2000,0,0,0,0.297345042,0,0,758.624573,138751.078,2000,-561387328,2.92E-07,-13921.9131,5068.30273,0,-44398.7227,16164.208,0,1.23288751,0.686057031,0.024358528,361150.375,0,0,1576.50696,0.000589213,0.546947241,0.288334727,5.04E-19,0.158924237,1.13E-11,0.005793768
0.006401643,0.019830423,0,138749.016,2000,0,0,0,0.297218174,0,0,758.823547,138749.016,2000,-573098880,2.92E-07,-14563.8564,5302.05469,0,-46868.8164,17063.6367,0,1.23302579,0.686050653,0.023839047,365071.188,0,0,1593.71472,0.000564089,0.546153903,0.288839728,4.64E-19,0.159131244,1.06E-11,0.005875051
0.006564208,0.020277066,0,138746.781,2000,0,0,0,0.297071636,0,0,759.054077,138746.781,2000,-586661312,2.92E-07,-15299.3184,5569.85938,0,-49702.4453,18095.4727,0,1.23318613,0.686041057,0.023431646,369632.5,0,0,1613.73694,0.000544788,0.545231581,0.289426893,4.32E-19,0.159373477,1.03E-11,0.00596799
0.006726773,0.02072371,0,138744.281,2000,0,0,0,0.296901554,0,0,759.322205,138744.281,2000,-602673280,2.92E-07,-16144.1602,5877.49463,0,-52979.6133,19288.8477,0,1.23337269,0.686027825,0.023130629,375024.969,0,0,1637.40894,0.000530791,0.544161022,0.290108413,4.40E-19,0.159653544,1.06E-11,0.006076997
0.006889338,0.021170355,0,138741.5,2000,0,0,0,0.29670319,0,0,759.635742,138741.5,2000,-622132480,2.92E-07,-17132.6543,6237.48486,0,-56824.4219,20689.0352,0,1.23359072,0.686010361,0.0229374,381484.5,0,0,1665.76501,0.000521959,0.542916059,0.290900916,5.37E-19,0.159975931,1.15E-11,0.006207025
